id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;activation_key;reset_key;created_by;created_date;reset_date;last_modified_by;last_modified_date
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;1;zh-cn;;;system;2018-05-08 03:07:06.533;;system;
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;1;zh-cn;;;system;2018-05-08 03:07:06.533;;system;
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;1;zh-cn;;;system;2018-05-08 03:07:06.533;;system;
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;1;zh-cn;;;system;2018-05-08 03:07:06.533;;system;
1001;zhang.wei;$2a$10$jvHkzkXQfU5VTe4qAIRXZuCOmAecTVPGdE9Da2N1EMjfdCvPIFxCa;Wei;Zhang;zhang.wei@bc.com;;1;zh-cn;;73455799188474315715;admin;2018-05-07 17:40:54.030;2018-05-07 17:40:53.980;admin;2018-05-07 17:42:42.623
1002;wang.wei;$2a$10$jwiJ5hUrvVNtyDsvvKeYne/gz74E3Yb6O4Rs2ZhTQivLIUVvyXY.e;Wei;Wang;wang.wei@bc.com;;1;zh-cn;;63001789439331364883;admin;2018-05-07 17:42:22.790;2018-05-07 17:42:22.786;admin;2018-05-07 17:42:22.790
1003;wang.fang;$2a$10$IcsQDFJyuhuRw761pcXR.OolN8JFjw4lcfWb0Z6RkX9hMNPU1oETa;Fang;Wang;wang.fang@bc.com;;1;zh-cn;;89843828800879812768;admin;2018-05-07 17:43:35.203;2018-05-07 17:43:35.203;admin;2018-05-07 17:43:35.203
1004;li.wei;$2a$10$3VVD0jX9u/sLFBZDwuXy0O.Q9z.XCSZpcpY6Bhs2m9bPTeZVNtlpS;Wei;Li;li.wei@bc.com;;1;zh-cn;;99687842868086471540;admin;2018-05-07 17:47:42.556;2018-05-07 17:47:42.556;admin;2018-05-07 17:47:42.556
1005;li.na;$2a$10$Cld8bFkCqBhHCMYime0ft.fPhUBBzOI2rZ/Yy3e.LWhRZ/tiP44t2;Na;Li;li.na@bc.com;;1;zh-cn;;11781740114956751725;admin;2018-05-07 17:48:24.683;2018-05-07 17:48:24.683;admin;2018-05-07 17:48:24.683
1006;zhang.min;$2a$10$lnrzzgwt3i2jM1qNxQNP5O8Fir3800qBOg1y8JlXV1uqfT4JF4BkO;Min;Zhang;zhang.min@bc.com;;1;zh-cn;;42601680865373166458;admin;2018-05-07 17:49:01.583;2018-05-07 17:49:01.583;admin;2018-05-07 17:49:01.583
